time_s,f0_hz,midi,nearest_midi,cents_deviation,voiced_prob
0.0,238.34839409963237,58.386820576352434,58.0,38.68205763524344,0.010037765502929688
0.023219954648526078,236.97560836585026,58.286820576352426,58.0,28.682057635242586,0.01000123296498612
0.046439909297052155,235.61072929608412,58.18682057635243,58.0,18.682057635243154,0.010009025493342986
0.06965986394557823,239.72913230026904,58.48682057635243,58.0,48.68205763524287,0.010622609040911533
0.09287981859410431,243.91952372092192,58.78682057635243,59.0,-21.317942364756703,0.010259050559778863
0.11609977324263039,246.75373206527053,58.98682057635243,59.0,-1.3179423647571298,0.011085791888943373
0.13931972789115646,248.18316189339754,59.08682057635242,59.0,8.682057635242302,0.022944219124638603
0.16253968253968254,245.3325351471361,58.88682057635243,59.0,-11.317942364757272,0.015085587297504338
0.18575963718820862,236.97560836585026,58.286820576352426,58.0,28.682057635242586,0.010191075496968311
0.2089795918367347,219.83258359329426,56.98682057635243,57.0,-1.3179423647571298,0.010073751764282884
0.23219954648526078,218.56644108070327,56.88682057635242,57.0,-11.317942364757982,0.01000419105279527
0.25541950113378686,219.83258359329426,56.98682057635243,57.0,-1.3179423647571298,0.010000802780927255
0.2786394557823129,219.83258359329426,56.98682057635243,57.0,-1.3179423647571298,0.010000127845232543
0.301859410430839,228.90334918964132,57.68682057635243,58.0,-31.317942364756846,0.010467533617069905
0.3250793650793651,234.25371135130007,58.08682057635243,58.0,8.682057635243012,0.011422334250709074
0.34829931972789113,232.90450925475,57.98682057635243,58.0,-1.3179423647571298,0.01646758759311301
0.37151927437641724,232.90450925475,57.98682057635243,58.0,-1.3179423647571298,0.018187375734912182
0.3947392290249433,236.97560836585026,58.286820576352426,58.0,28.682057635242586,0.010467533617069905
0.4179591836734694,238.34839409963237,58.386820576352434,58.0,38.68205763524344,0.010101974593744989
0.44117913832199546,,,,,0.010000002871100368
0.46439909297052157,,,,,0.010000000814014904
0.4876190476190476,,,,,0.01000000002170159
0.5108390022675737,,,,,0.01000020633903134
0.5340589569160997,,,,,0.01000123296498612
0.5572789115646258,,,,,0.010009025493342986
0.5804988662131519,,,,,0.010009025493342986
0.603718820861678,,,,,0.010000027850262286
0.626938775510204,,,,,0.010000127845232541
0.6501587301587302,,,,,0.010000802780927253
0.6733786848072563,,,,,0.01000187304601255
0.6965986394557823,,,,,0.010000516719604523
0.7198185941043084,,,,,0.010000000417925077
0.7430385487528345,,,,,0.010000002871100368
0.7662585034013606,,,,,0.010000005216229449
0.7894784580498866,,,,,0.010000001546554296
0.8126984126984127,,,,,0.010000001546554296
0.8359183673469388,,,,,0.010000000021701592
0.8591383219954648,,,,,0.010000000417925077
0.8823582766439909,,,,,0.010000000003996623
0.905578231292517,,,,,0.0100000470079773
0.9287981859410431,,,,,0.01002672467381077
0.9520181405895691,,,,,0.01001876450976914
0.9752380952380952,,,,,0.010037765502929688
0.9984580498866213,,,,,0.0100028158258111
1.0216780045351475,,,,,0.010000127845232541
1.0448979591836736,,,,,0.010000000417925075
1.0681179138321995,,,,,0.010000005216229449
1.0913378684807256,,,,,0.010000000814014906
1.1145578231292517,,,,,0.010000027850262286
1.1377777777777778,,,,,0.01000020633903134
1.1609977324263039,,,,,0.010000516719604524
1.18421768707483,,,,,0.010000047007977299
1.207437641723356,,,,,0.0100000470079773
1.230657596371882,,,,,0.010000802780927255
1.253877551020408,,,,,0.0100028158258111
1.2770975056689342,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.010000802780927255
1.3003174603174603,312.69118989895867,63.08682057635242,63.0,8.682057635242302,0.010009025493342988
1.3235374149659864,314.50259153448036,63.18682057635244,63.0,18.682057635243865,0.010259050559778864
1.3467573696145125,312.69118989895867,63.08682057635242,63.0,8.682057635242302,0.010140046044704068
1.3699773242630386,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.010467533617069905
1.3931972789115645,318.15693562161516,63.38682057635243,63.0,38.68205763524273,0.011085791888943373
1.4164172335600906,318.15693562161516,63.38682057635243,63.0,38.68205763524273,0.010140046044704068
1.4396371882086167,318.15693562161516,63.38682057635243,63.0,38.68205763524273,0.01010197459374499
1.4628571428571429,318.15693562161516,63.38682057635243,63.0,38.68205763524273,0.010018764509769138
1.486077097505669,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.01002672467381077
1.509297052154195,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.010009025493342986
1.5325170068027212,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.010037765502929688
1.555736961451247,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.01000123296498612
1.5789569160997732,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.010001873046012551
1.6021768707482993,316.3244865129268,63.28682057635243,63.0,28.682057635243297,0.010001873046012551
